timestamp,grade,is_deviated,Fe,C,Si,Mn,P,S,total_composition
2025-02-19 18:05:00,SG-IRON,False,88.1963,3.7258,2.646,0.7147,0.0597,0.024,95.3665
2024-09-07 22:40:00,HIGH-CARBON-STEEL,False,97.7823,1.0637,0.4143,1.4033,0.0208,0.0386,100.723
2025-07-03 03:30:00,HIGH-CARBON-STEEL,True,97.1169,0.7519,0.6536,1.4105,0.0254,0.0156,99.97390000000001
2024-08-15 04:10:00,GREY-IRON,False,89.4124,3.194,1.2888,0.9566,0.1333,0.1147,95.0998
2024-04-14 10:10:00,HIGH-CARBON-STEEL,False,97.5465,0.9309,0.6045,0.869,0.0263,0.0338,100.011
2024-03-23 05:05:00,MEDIUM-CARBON-STEEL,False,98.6317,0.4881,0.2582,0.7583,0.0279,0.0095,100.17370000000001
2025-04-13 06:10:00,GREY-IRON,True,86.976,2.3092,1.8536,0.9733,0.0102,0.129,92.2513
2025-09-04 13:30:00,GREY-IRON,True,89.1437,2.7393,1.4839,1.338,0.0077,0.0389,94.7515
2025-04-04 22:55:00,LOW-CARBON-STEEL,True,98.8917,0.1862,0.2341,0.5432,0.0283,0.0013,99.8848
2024-01-15 04:10:00,SG-IRON,False,85.9508,3.7881,2.469,0.9035,0.0316,0.0189,93.16189999999999
2024-09-15 12:40:00,MEDIUM-CARBON-STEEL,False,97.8939,0.4182,0.5141,1.1346,0.0299,0.0325,100.0232
2025-05-08 12:25:00,HIGH-CARBON-STEEL,True,97.4072,1.1811,0.0483,1.2269,0.0173,0.0135,99.8943
2025-10-09 08:05:00,HIGH-CARBON-STEEL,True,96.6376,0.805,0.6186,0.9838,0.0481,0.0288,99.12190000000002
2024-10-20 23:00:00,LOW-CARBON-STEEL,False,98.5631,0.2523,0.233,0.6286,0.0417,0.0241,99.74280000000003
2025-02-10 19:55:00,MEDIUM-CARBON-STEEL,False,98.3671,0.3655,0.2262,0.6137,0.0134,0.044,99.62989999999999
2025-01-19 21:40:00,HIGH-CARBON-STEEL,False,97.8877,0.8144,0.6887,0.8315,0.0134,0.0391,100.27480000000001
